"gbifID";"datasetKey";"occurrenceID";"kingdom";"phylum";"class";"order";"family";"genus";"species";"infraspecificEpithet";"taxonRank";"scientificName";"verbatimScientificName";"verbatimScientificNameAuthorship";"countryCode";"locality";"stateProvince";"occurrenceStatus";"individualCount";"publishingOrgKey";"decimalLatitude";"decimalLongitude";"coordinateUncertaintyInMeters";"coordinatePrecision";"elevation";"elevationAccuracy";"depth";"depthAccuracy";"eventDate";"day";"month";"year";"taxonKey";"speciesKey";"basisOfRecord";"institutionCode";"collectionCode";"catalogNumber";"recordNumber";"identifiedBy";"dateIdentified";"license";"rightsHolder";"recordedBy";"typeStatus";"establishmentMeans";"lastInterpreted";"mediaType";"issue";"gbif_species_to_verbatim";"Specimen.ID";"Bnet.UI";"Familiy_kawahara";"Genus_kawahara";"Species_kawahara";"kawahara_index";"phy_tip_name"
2446092416;"7e380070-f762-11e1-a439-00145eb45e9a";"e741c693-bf91-42f3-a25a-e3c069a2e291";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Papilionidae";"Ornithoptera";"Ornithoptera richmondia";"richmondia";"SUBSPECIES";"Ornithoptera priamus richmondia (Gray, 1853)";"Ornithoptera priamus richmondia Gray, 1852";"Gray, 1852";"AU";"Nearest Named Place: S. Tamborine Mountains";"Queensland";"PRESENT";1;"19456090-b49a-11d8-abeb-b8a03c50a862";NA;NA;NA;NA;NA;NA;NA;NA;"1973-01-01T00:00:00";NA;NA;1973;9176708;1937474;"PRESERVED_SPECIMEN";"NHMUK";"BMNH(E)";"BMNH(E)134326";"";"";"";"CC0_1_0";"";"";"";NA;"2023-08-30T11:15:48.470Z";"StillImage";"INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE";"Ornithoptera richmondia";"SRR8954528";NA;"Papilionidae";"Ornithoptera";"richmondia";1837;"SRR8954528_Ornithoptera_richmondia"
2237163233;"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3";"MCZ:Ent:210573";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Papilionidae";"Trogonoptera";"Trogonoptera brookiana";"brookiana";"SUBSPECIES";"Trogonoptera brookiana brookiana";"Trogonoptera brookiana brookiana (Wallace, 1855)";"(Wallace, 1855)";"ID";"[no specific locality data]";"";"PRESENT";1;"b4640710-8e03-11d8-b956-b8a03c50a862";1.0277;114.46191;867681;1e-05;NA;NA;NA;NA;"";NA;NA;NA;10626758;1937514;"PRESERVED_SPECIMEN";"MCZ";"Ent";"210573";"";"Rachel L. Hawkins Sipe";"2021-09-08T00:00:00";"CC_BY_NC_4_0";"President and Fellows of Harvard College";"[no agent data]";"";NA;"2023-08-31T05:57:06.265Z";"StillImage";"COUNTRY_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY";"Trogonoptera brookiana";"SRR8954533";NA;"Papilionidae";"Trogonoptera";"brookiana";1835;"SRR8954533_Trogonoptera_brookiana"
727596677;"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3";"MCZ:Ent:135328";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Papilionidae";"Pharmacophagus";"Pharmacophagus antenor";"";"SPECIES";"Pharmacophagus antenor (Drury, 1773)";"Pharmacophagus antenor (Drury, [1773])";"(Drury, [1773])";"MG";"[no specific locality data]";"";"PRESENT";1;"b4640710-8e03-11d8-b956-b8a03c50a862";-19.25495;47.21973;881718;1e-05;NA;NA;NA;NA;"";NA;NA;NA;1939314;1939314;"PRESERVED_SPECIMEN";"MCZ";"Ent";"135328";"";"[no agent data]";"";"CC_BY_NC_4_0";"President and Fellows of Harvard College";"[no agent data]";"";NA;"2023-08-31T05:59:43.259Z";"StillImage";"INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY";"Pharmacophagus antenor";"SRR8954535";NA;"Papilionidae";"Pharmacophagus";"antenor";1834;"SRR8954535_Pharmacophagus_antenor"
3042590887;"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3";"MCZ:Ent:173897";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Papilionidae";"Battus";"Battus polydamas";"polydamas";"SUBSPECIES";"Battus polydamas polydamas";"Battus polydamas polydamas (Linnaeus, 1758)";"(Linnaeus, 1758)";"GT";"Western Guatemala";"";"PRESENT";1;"b4640710-8e03-11d8-b956-b8a03c50a862";15.00348;-91.07626;140388;1e-05;NA;NA;NA;NA;"1913-08-09T00:00:00";9;8;1913;7259501;5141324;"PRESERVED_SPECIMEN";"MCZ";"Ent";"173897";"";"[no agent data]";"";"CC_BY_NC_4_0";"President and Fellows of Harvard College";"A. Kruck";"";NA;"2023-08-31T05:59:44.693Z";"StillImage";"INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY";"Battus polydamas";"LEP15366";NA;"Papilionidae";"Battus";"polydamas";1832;"LEP15366_Papilionidae_Papilioninae_Troidini_Battus_polydamas_polydamas_ME"
4078969381;"f3130a8a-4508-42b4-9737-fbda77748438";"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.5149008";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Papilionidae";"Papilio";"Papilio slateri";"perses";"SUBSPECIES";"Papilio slateri perses";"Papilio slateri perses de Nicéville de Nicéville, 1894";"de Nicéville, 1894";"ID";"Sibolangit";"North Sumatra";"PRESENT";NA;"396d5f30-dea9-11db-8ab4-b8a03c50a862";3.316667;98.550128;15460;NA;NA;NA;NA;NA;"1912-01-01T00:00:00";1;1;1912;11501499;4692124;"PRESERVED_SPECIMEN";"";"Lepidoptera";"ZMA.INS.5149008";"";"";"";"CC0_1_0";"Naturalis Biodiversity Center";"";"";NA;"2023-08-30T09:40:29.399Z";"StillImage;StillImage";"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH";"Papilio slateri";"SRR8954521";NA;"Papilionidae";"Papilio";"slateri";1854;"SRR8954521_Papilio_slateri"
1229605400;"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3";"MCZ:Ent:152346";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Papilionidae";"Papilio";"Papilio polyxenes";"";"SPECIES";"Papilio polyxenes Fabricius, 1775";"Papilio polyxenes kahli Chermock, 1937";"Chermock, 1937";"CA";"Duck Mountain";"Manitoba";"PRESENT";1;"b4640710-8e03-11d8-b956-b8a03c50a862";51.66994;-100.9213;47606;1e-05;NA;NA;NA;NA;"1985-01-01T00:00:00";1;1;1985;1937816;1937816;"PRESERVED_SPECIMEN";"MCZ";"Ent";"152346";"";"[no agent data]";"";"CC_BY_NC_4_0";"President and Fellows of Harvard College";"K. Thorne";"";NA;"2023-08-31T05:57:02.168Z";"StillImage";"TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY";"Papilio polyxenes";"LEP35691";"BN007165";"Papilionidae";"Papilio";"polyxenes";1863;"BN007165_LEP35691_Papilionidae_Papilioninae_Papilionini_Papilio_polyxenes"
2432245796;"323b0e80-5e4b-4cc4-936a-d93fc8cae9bc";"d2858681-7b0d-4f68-8db1-2a05aa0e759c";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Papilionidae";"Papilio";"Papilio zelicaon";"";"SPECIES";"Papilio zelicaon Lucas, 1852";"Papilio zelicaon nitra";"Edwards 1883";"US";"Grand Teton National Park, Survey Peak,";"Wyoming";"PRESENT";1;"0d923068-1cec-44de-8b78-33a51fb0cacd";44.040209;-110.850215;1800;NA;NA;NA;NA;NA;"1979-06-28T00:00:00";28;6;1979;1937751;1937751;"PRESERVED_SPECIMEN";"CSU";"CSUC";"CSU_ENT1005699";"";"";"";"CC0_1_0";"Department of Bioagricultural Sciences and Pest Management";"Unknown";"";NA;"2023-08-25T22:33:13.145Z";"StillImage";"OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;AMBIGUOUS_COLLECTION";"Papilio zelicaon";"SRR8954529";NA;"Papilionidae";"Papilio";"zelicaon";1864;"SRR8954529_Papilio_zelicaon"
863594762;"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3";"MCZ:Ent:136933";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Papilionidae";"Papilio";"Papilio xuthus";"";"SPECIES";"Papilio xuthus Linnaeus, 1767";"Papilio xuthus Linnaeus, 1767";"Linnaeus, 1767";"ZZ";"central Korea";"";"PRESENT";1;"b4640710-8e03-11d8-b956-b8a03c50a862";38.11798;127.24414;2e+05;1e-05;NA;NA;NA;NA;"1935-04-21T00:00:00";21;4;1935;1937819;1937819;"PRESERVED_SPECIMEN";"MCZ";"Ent";"136933";"";"[no agent data]";"";"CC_BY_NC_4_0";"President and Fellows of Harvard College";"D. M. Suk";"";NA;"2023-08-31T05:59:43.054Z";"StillImage";"COUNTRY_COORDINATE_MISMATCH;CONTINENT_COUNTRY_MISMATCH;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY";"Papilio xuthus";"LEP40499";"BN007167";"Papilionidae";"Papilio";"xuthus";1860;"BN007167_LEP40499_Papilionidae_Papilioninae_Papilionini_Papilio_xuthus"
1337838079;"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3";"MCZ:Ent:180722";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Papilionidae";"Papilio";"Papilio protenor";"";"SPECIES";"Papilio protenor Cramer, 1775";"Papilio protenor Cramer, [1775]";"Cramer, [1775]";"IN";"[no specific locality data]";"Assam";"PRESENT";1;"b4640710-8e03-11d8-b956-b8a03c50a862";26.25;93;352205;1e-05;NA;NA;NA;NA;"1890-01-13T00:00:00";13;1;1890;1938052;1938052;"PRESERVED_SPECIMEN";"MCZ";"Ent";"180722";"";"[no agent data]";"";"CC_BY_NC_4_0";"President and Fellows of Harvard College";"Braun";"";NA;"2023-08-31T05:57:03.731Z";"StillImage";"INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY";"Papilio protenor";"LEP36465";"BN007168";"Papilionidae";"Papilio";"protenor";1867;"BN007168_LEP36465_Papilionidae_Papilioninae_Papilionini_Papilio_protenor"
925596004;"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3";"MCZ:Ent:170955";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Papilionidae";"Papilio";"Papilio polytes";"ledebouria";"SUBSPECIES";"Papilio polytes ledebouria Eschscholtz, 1821";"Papilio polytes ledebouria Eschscholtz, 1821";"Eschscholtz, 1821";"PH";"[no specific locality data]";"Northern Mindanao Region";"PRESENT";1;"b4640710-8e03-11d8-b956-b8a03c50a862";8.45746;124.63552;93881;1e-05;NA;NA;NA;NA;"";NA;NA;NA;6134015;1938088;"PRESERVED_SPECIMEN";"MCZ";"Ent";"170955";"";"[no agent data]";"";"CC_BY_NC_4_0";"President and Fellows of Harvard College";"[no agent data]";"";NA;"2023-08-31T05:57:03.151Z";"StillImage";"INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY";"Papilio polytes";"GCA0008362151";NA;"Papilionidae";"Papilio";"polytes";1868;"GCA_0008362151_Papilio_polytes"
