Loss, Time
1.4249998331069946, 13.910277605056763
1.419496774673462, 0.07688760757446289
1.4167466163635254, 0.005114555358886719
1.412129282951355, 0.004522085189819336
1.40824294090271, 0.0038874149322509766
1.4238959550857544, 0.029452085494995117
1.4192163944244385, 0.030812740325927734
1.4193885326385498, 0.029224157333374023
1.4292430877685547, 0.029395341873168945
1.4372810125350952, 0.029143095016479492
1.4146051406860352, 0.029061317443847656
1.4344996213912964, 0.02954888343811035
1.4252336025238037, 0.029086589813232422
1.4216020107269287, 0.028241634368896484
1.4233466386795044, 0.02681875228881836
1.4272575378417969, 0.02682971954345703
1.4230074882507324, 0.026904582977294922
1.4205117225646973, 0.026781797409057617
1.4136996269226074, 0.02677774429321289
1.4240370988845825, 0.026948928833007812
1.420222520828247, 0.02716660499572754
1.4318242073059082, 0.02695608139038086
1.4107110500335693, 0.02697443962097168
1.4263198375701904, 0.026869773864746094
1.429750919342041, 0.02708745002746582
1.4156579971313477, 0.02675485610961914
1.4279811382293701, 0.026946067810058594
1.4239840507507324, 0.026894569396972656
1.4399689435958862, 0.02689385414123535
1.4114558696746826, 0.0268857479095459
1.4198124408721924, 0.027123689651489258
1.4364818334579468, 0.026927709579467773
1.4148648977279663, 0.026882648468017578
1.4344054460525513, 0.026763439178466797
1.4256325960159302, 0.027074337005615234
1.4287421703338623, 0.027106285095214844
1.4253597259521484, 0.02675938606262207
1.4323227405548096, 0.027065277099609375
1.426437258720398, 0.02694845199584961
1.4164113998413086, 0.026972293853759766
1.4142701625823975, 0.026866674423217773
1.4140805006027222, 0.026976823806762695
1.428113341331482, 0.026930570602416992
1.4234647750854492, 0.026990413665771484
1.4137581586837769, 0.02683091163635254
1.4282567501068115, 0.026888370513916016
1.4245741367340088, 0.026993513107299805
1.422655701637268, 0.02704334259033203
1.4203212261199951, 0.026997804641723633
1.422177791595459, 0.0270688533782959
1.4387328624725342, 0.027211427688598633
1.4195066690444946, 0.02692389488220215
1.4295449256896973, 0.026952505111694336
1.4204119443893433, 0.026977062225341797
1.4174211025238037, 0.027033090591430664
1.4157075881958008, 0.0269010066986084
